use_tms,disp_rtm_s,asset_nm_new
4440,4440,꼬리에꼬리를무는그날이야기
2020,4440,꼬리에꼬리를무는그날이야기
131,4440,꼬리에꼬리를무는그날이야기
2282,4440,꼬리에꼬리를무는그날이야기
2934,2940,NFS국과수
2940,2940,NFS국과수
2909,3600,도망쳐
1980,1980,맨인블랙박스
4500,4500,꼬리에꼬리를무는그날이야기
332,4500,꼬리에꼬리를무는그날이야기
4500,4500,꼬리에꼬리를무는그날이야기
1920,1920,인간극장
2149,3600,과학수사대스모킹건
1811,3600,과학수사대스모킹건
4800,4800,오은영리포트결혼지옥
4260,4260,꼬리에꼬리를무는그날이야기
2684,4260,꼬리에꼬리를무는그날이야기
679,1560,영상앨범산
3282,4980,오은영리포트결혼지옥
212,4980,오은영리포트결혼지옥
90,4980,오은영리포트결혼지옥
1922,4980,오은영리포트결혼지옥
2755,4980,오은영리포트결혼지옥
1920,1920,인간극장
1920,1920,인간극장
4380,4380,꼬리에꼬리를무는그날이야기
184,4680,꼬리에꼬리를무는그날이야기
208,4680,꼬리에꼬리를무는그날이야기
2907,4680,꼬리에꼬리를무는그날이야기
4980,4980,오은영리포트결혼지옥
1907,2760,실화탐사대
869,2760,실화탐사대
2760,2760,실화탐사대
1468,2760,실화탐사대
3120,3120,동행
4740,4740,꼬리에꼬리를무는그날이야기
4740,4740,오은영리포트결혼지옥
1879,1920,맨인블랙박스
1440,1440,영상앨범산
4800,4800,오은영리포트결혼지옥
229,2880,2023역사저널그날
4620,4620,꼬리에꼬리를무는그날이야기
88,4620,꼬리에꼬리를무는그날이야기
71,4620,꼬리에꼬리를무는그날이야기
107,4620,꼬리에꼬리를무는그날이야기
4440,4440,꼬리에꼬리를무는그날이야기
4620,4620,꼬리에꼬리를무는그날이야기
160,4620,꼬리에꼬리를무는그날이야기
2760,2760,실화탐사대
5820,5820,오은영리포트결혼지옥
5820,5820,오은영리포트결혼지옥
3543,5820,오은영리포트결혼지옥
1625,3600,과학수사대스모킹건
2037,3600,과학수사대스모킹건
442,1920,인간극장
4260,4260,꼬리에꼬리를무는그날이야기
4260,4260,꼬리에꼬리를무는그날이야기
3763,4260,꼬리에꼬리를무는그날이야기
4260,4260,꼬리에꼬리를무는그날이야기
1920,1920,인간극장
4560,4560,꼬리에꼬리를무는그날이야기
4620,4620,꼬리에꼬리를무는그날이야기
4740,4740,꼬리에꼬리를무는그날이야기
2880,2880,실화탐사대
98,2880,실화탐사대
1809,2880,실화탐사대
2880,2880,실화탐사대
2880,2880,실화탐사대
2700,2700,NFS국과수
2668,2700,NFS국과수
2570,2700,NFS국과수
1445,4020,그것이알고싶다
1032,4020,그것이알고싶다
4020,4020,그것이알고싶다
1539,4020,그것이알고싶다
1380,1380,영상앨범산
1457,4680,꼬리에꼬리를무는그날이야기
1820,4680,꼬리에꼬리를무는그날이야기
4680,4680,꼬리에꼬리를무는그날이야기
1304,4680,꼬리에꼬리를무는그날이야기
3746,4680,꼬리에꼬리를무는그날이야기
2820,2820,식객허영만의백반기행
3600,3600,나는몸신이다
1538,3360,휴먼다큐사노라면
1855,3360,휴먼다큐사노라면
2880,2880,식객허영만의백반기행
1484,3660,나는몸신이다
2820,2820,식객허영만의백반기행
4980,4980,한문철의블랙박스리뷰
422,4980,한문철의블랙박스리뷰
4849,4980,한문철의블랙박스리뷰
3360,3360,휴먼다큐사노라면
678,3360,휴먼다큐사노라면
2726,3360,휴먼다큐사노라면
2695,2880,식객허영만의백반기행
489,2880,식객허영만의백반기행
4980,4980,한문철의블랙박스리뷰
1512,3360,휴먼다큐사노라면
3360,3360,휴먼다큐사노라면
882,3360,휴먼다큐사노라면
4920,4920,한문철의블랙박스리뷰
2565,3660,나는몸신이다
3300,3300,휴먼다큐사노라면
3240,3240,휴먼다큐사노라면
1029,3240,휴먼다큐사노라면
3017,3240,휴먼다큐사노라면
3240,3240,휴먼다큐사노라면
744,3900,SBS인기가요
7500,7500,화요일은밤이좋아
5100,5100,고딩엄빠3
4491,6180,미운우리새끼
1748,6180,미운우리새끼
5006,6180,미운우리새끼
638,6180,미운우리새끼
350,6180,미운우리새끼
2746,5460,신랑수업
4740,4740,속풀이쇼동치미
1324,5520,런닝맨
67,5520,런닝맨
736,5520,런닝맨
5520,5520,런닝맨
1215,5520,런닝맨
1819,5520,런닝맨
1331,4200,신발벗고돌싱포맨
5280,5280,런닝맨
474,5280,런닝맨
3169,5280,런닝맨
2002,5280,런닝맨
1324,5280,전지적참견시점
1880,3780,TV동물농장
732,5160,런닝맨
2703,5160,런닝맨
1686,5160,런닝맨
1711,5160,런닝맨
2358,5160,런닝맨
1183,4140,SBS인기가요
7800,7800,화요일은밤이좋아
2684,5040,사장님귀는당나귀귀
2097,5040,사장님귀는당나귀귀
6240,6240,화요일은밤이좋아
1231,6840,미스터로또
2202,6840,미스터로또
1942,6840,미스터로또
4753,6840,미스터로또
931,6840,미스터로또
2791,6840,미스터로또
6840,6840,미스터로또
2565,6840,미스터로또
1187,6840,미스터로또
4300,4320,놀면뭐하니?
5220,5220,2억9천:결혼전쟁
665,4620,전지적참견시점
1889,4620,전지적참견시점
3900,3900,심야괴담회
3900,3900,심야괴담회
1449,3900,심야괴담회
3900,3900,심야괴담회
3900,3900,심야괴담회
701,3900,심야괴담회
360,3900,심야괴담회
1521,3900,심야괴담회
3900,3900,심야괴담회
3900,3900,심야괴담회
3900,3900,심야괴담회
585,3900,심야괴담회
3900,3900,심야괴담회
5104,5460,골때리는그녀들
1385,5460,골때리는그녀들
3950,4020,심야괴담회
1669,4020,심야괴담회
122,4020,심야괴담회
4020,4020,심야괴담회
3392,4020,심야괴담회
587,4020,심야괴담회
1015,3780,TV동물농장
2159,8460,미스터트롯2
5100,5100,태어난김에세계일주2
1740,4620,슈퍼맨이돌아왔다
4980,4980,속풀이쇼동치미
3005,5280,런닝맨
2670,5400,조선의사랑꾼
2187,3900,TV동물농장
1587,3900,TV동물농장
1768,4260,신랑수업
2856,4260,신랑수업
3600,3600,개는훌륭하다
1696,3600,개는훌륭하다
3482,3600,개는훌륭하다
2751,3600,개는훌륭하다
4680,4680,신상출시편스토랑
3120,3120,가요무대
1589,3120,가요무대
1615,3120,가요무대
2463,5580,나혼자산다
5570,5580,나혼자산다
65,5580,나혼자산다
1050,3720,TV동물농장
1444,6420,미운우리새끼
732,6420,미운우리새끼
5774,6420,미운우리새끼
6420,6420,형제라면
1145,5640,구해줘!홈즈
1124,5640,구해줘!홈즈
838,5640,구해줘!홈즈
1113,5640,구해줘!홈즈
5100,5100,고딩엄빠3
480,4500,훅까놓고말해서
2860,3840,심야괴담회
3840,3840,심야괴담회
1118,3840,심야괴담회
192,3840,심야괴담회
1054,3840,심야괴담회
235,3840,심야괴담회
3840,3840,심야괴담회
3840,3840,심야괴담회
3840,3840,심야괴담회
977,3840,심야괴담회
5580,5580,런닝맨
1181,5520,런닝맨
1445,5580,구해줘!홈즈
1240,5580,구해줘!홈즈
465,5580,구해줘!홈즈
255,5580,구해줘!홈즈
706,5580,구해줘!홈즈
855,5580,구해줘!홈즈
1078,3720,TV동물농장
1801,3720,TV동물농장
67,3840,살림하는남자들2
3475,6060,미운우리새끼
6060,6060,미운우리새끼
1181,6060,미운우리새끼
822,3780,TV동물농장
106,4800,1박2일시즌4
1198,5040,사장님귀는당나귀귀
3806,5700,1박2일시즌4
1091,5700,1박2일시즌4
159,5700,1박2일시즌4
1678,5700,1박2일시즌4
3060,3060,궁금한이야기Y
2281,3120,궁금한이야기Y
1374,3120,궁금한이야기Y
3060,3060,궁금한이야기Y
4620,4620,놀면뭐하니?
4393,4620,놀면뭐하니?
4620,4620,놀면뭐하니?
3991,4320,명곡제작소
418,4320,명곡제작소
230,4860,무장해제
706,4020,조선의사랑꾼
1455,4020,조선의사랑꾼
235,5280,구해줘!홈즈
5820,5820,텐트밖은유럽노르웨이편
3684,3840,심야괴담회
2765,3840,심야괴담회
3840,3840,심야괴담회
2475,3840,심야괴담회
3840,3840,심야괴담회
3840,3840,심야괴담회
3840,3840,심야괴담회
3840,3840,심야괴담회
3840,3840,심야괴담회
911,6420,미스터로또
2185,6420,미스터로또
6420,6420,미스터로또
6420,6420,미스터로또
1703,6420,미스터로또
520,6420,미스터로또
880,5100,전지적참견시점
2580,2580,장미꽃필무렵
5280,5280,런닝맨
5138,5760,나혼자산다
4200,4200,홍김동전
503,3600,개는훌륭하다
3120,3120,궁금한이야기Y
5640,5640,강심장리그
5386,5580,강심장리그
1575,3840,홍김동전외전
3626,5400,나혼자산다
903,8880,미스터트롯2
2090,5280,신랑수업
7032,7740,스트릿우먼파이터2
7740,7740,스트릿우먼파이터2
3585,7740,스트릿우먼파이터2
4784,7740,스트릿우먼파이터2
212,5100,사장님귀는당나귀귀
1032,5100,사장님귀는당나귀귀
936,3780,TV동물농장
1396,3540,TV동물농장
5725,6240,조선의사랑꾼
873,6240,조선의사랑꾼
990,5220,런닝맨
5220,5220,런닝맨
5460,5460,골때리는그녀들
2651,5460,골때리는그녀들
5167,5580,동상이몽2-너는내운명
423,5580,동상이몽2-너는내운명
5580,5580,동상이몽2-너는내운명
3780,3780,홍김동전
1118,4140,홍김동전
4140,4140,홍김동전
174,3660,TV동물농장
5045,5100,고딩엄빠3
786,3660,옥탑방의문제아들
2933,3660,옥탑방의문제아들
4200,4200,신발벗고돌싱포맨
4200,4200,신발벗고돌싱포맨
4134,4200,신발벗고돌싱포맨
4200,4200,신발벗고돌싱포맨
842,5220,런닝맨
4669,4860,무장해제
1659,4860,무장해제
228,3960,TV동물농장
659,4140,홍김동전
501,5400,조선의사랑꾼
2274,4740,신상출시편스토랑
3330,4740,신상출시편스토랑
707,6720,불타는장미단
1351,6720,불타는장미단
6138,6720,불타는장미단
567,6720,불타는장미단
5921,6720,불타는장미단
3600,3600,홍김동전
6840,6840,스트릿우먼파이터2
2988,5820,복면가왕
388,5040,황금어장-라디오스타
5040,5040,황금어장-라디오스타
3436,5220,조선의사랑꾼
65,5520,조선의사랑꾼
106,5460,조선의사랑꾼
704,6540,미스터로또
2299,6540,미스터로또
1650,6540,미스터로또
5540,5580,손대면핫플-동네멋집
1338,4860,속풀이쇼동치미
2508,4140,홍김동전
3780,3780,회장님네사람들
2091,5400,신랑수업
504,5400,신랑수업
365,5160,조선의사랑꾼
2325,5580,런닝맨
5040,5040,고딩엄빠3
5280,5280,태어난김에세계일주2
118,5520,구해줘!홈즈
6180,6180,뭉쳐야찬다2
85,3840,TV동물농장
1566,3840,TV동물농장
72,3840,TV동물농장
750,6720,조선의사랑꾼
5231,7020,불타는장미단
3265,7020,불타는장미단
1781,7020,불타는장미단
1168,7020,불타는장미단
4560,4560,가요무대
3370,6060,유퀴즈온더블럭
1225,3840,TV동물농장
2383,7200,불타는장미단
4114,7200,불타는장미단
4554,7200,불타는장미단
303,7200,불타는장미단
4967,5700,귀염뽕짝원정대
4500,4500,놀면뭐하니?
4500,4500,놀면뭐하니?
3000,3000,가요무대
1480,6180,불타는장미단
4190,6180,불타는장미단
1885,6180,불타는장미단
4125,6180,불타는장미단
5220,5220,아는형님
5280,5280,2억9천:결혼전쟁
119,5280,2억9천:결혼전쟁
5280,5280,2억9천:결혼전쟁
6180,6180,미운우리새끼
1194,6180,미운우리새끼
6146,6180,미운우리새끼
589,3840,홍김동전
5179,5220,전국노래자랑
1152,3780,홍김동전
690,3780,홍김동전
2460,2460,장미꽃필무렵
4412,6120,미운우리새끼
1598,6120,미운우리새끼
75,6120,미운우리새끼
656,6120,미운우리새끼
4716,6120,미운우리새끼
6001,6120,미운우리새끼
2748,6120,미운우리새끼
6120,6120,미운우리새끼
5855,6120,미운우리새끼
3900,3900,심야괴담회
3900,3900,심야괴담회
1569,3900,심야괴담회
2075,3840,심야괴담회
3840,3840,심야괴담회
3840,3840,심야괴담회
649,3840,심야괴담회
3840,3840,심야괴담회
591,3840,심야괴담회
3406,3840,심야괴담회
211,3840,심야괴담회
4200,4200,신발벗고돌싱포맨
4200,4200,신발벗고돌싱포맨
4200,4200,신발벗고돌싱포맨
194,4200,신발벗고돌싱포맨
3312,4200,신발벗고돌싱포맨
1000,4200,신발벗고돌싱포맨
2725,5520,신랑수업
901,5520,신랑수업
4740,4740,속풀이쇼동치미
2455,3900,심야괴담회
2835,3900,심야괴담회
1289,3900,심야괴담회
3900,3900,심야괴담회
3900,3900,심야괴담회
496,3900,심야괴담회
2458,3900,심야괴담회
914,4200,홍김동전
2868,4680,놀면뭐하니?
4680,4680,놀면뭐하니?
371,4680,놀면뭐하니?
183,4680,놀면뭐하니?
1414,4680,놀면뭐하니?
3248,4980,황금어장-라디오스타
1555,4980,황금어장-라디오스타
4980,4980,황금어장-라디오스타
3968,4020,박원숙의같이삽시다시즌3
1935,3780,TV동물농장
949,3780,TV동물농장
2776,4200,내일은위닝샷
1786,4200,내일은위닝샷
1989,3900,홍김동전
3026,5160,고딩엄빠3
4374,5160,고딩엄빠3
4150,4800,속풀이쇼동치미
792,4800,속풀이쇼동치미
1626,5160,조선의사랑꾼
1636,5160,조선의사랑꾼
895,5640,1박2일시즌4
4794,5640,1박2일시즌4
5520,5520,나혼자산다
1339,5520,나혼자산다
1205,5520,나혼자산다
1290,5520,나혼자산다
401,3600,개는훌륭하다
3600,3600,개는훌륭하다
1198,6480,불타는장미단
2320,6480,불타는장미단
1781,6480,불타는장미단
1320,6480,불타는장미단
3027,5700,복면가왕
3468,5640,복면가왕
1317,5640,복면가왕
5085,5100,뭉쳐야뜬다
2178,4740,전지적참견시점
377,4740,전지적참견시점
1621,4740,전지적참견시점
1392,5520,복면가왕
2621,5520,복면가왕
5041,6540,스트릿우먼파이터
2361,6120,미운우리새끼
678,5700,구해줘!홈즈
544,5700,구해줘!홈즈
1063,5700,구해줘!홈즈
98,5700,구해줘!홈즈
269,5700,구해줘!홈즈
471,5700,구해줘!홈즈
577,3240,가요무대
3240,3240,가요무대
4920,4920,전지적참견시점
4563,5400,전지적참견시점
342,5400,전지적참견시점
1904,2820,생로병사의비밀
78,2820,생로병사의비밀
1007,2820,생로병사의비밀
876,7440,불타는트롯맨갈라콘서트
769,7440,불타는트롯맨갈라콘서트
4901,7440,불타는트롯맨갈라콘서트
417,7440,불타는트롯맨갈라콘서트
1046,7440,불타는트롯맨갈라콘서트
386,5340,구해줘!홈즈
4020,4020,박원숙의같이삽시다시즌3
176,3780,TV동물농장
1670,3780,TV동물농장
1025,5220,조선의사랑꾼
933,4440,뮤직뱅크
1873,4020,심야괴담회
1364,4080,심야괴담회
3298,4020,홍김동전
81,4020,홍김동전
5269,5280,2억9천:결혼전쟁
5280,5280,2억9천:결혼전쟁
6480,6480,화요일은밤이좋아
1215,5400,아는형님
1323,4680,신상출시편스토랑
3791,4680,신상출시편스토랑
1752,6780,불타는장미단
1897,6780,불타는장미단
3960,3960,심야괴담회
3281,3960,심야괴담회
3960,3960,심야괴담회
100,5220,조선의사랑꾼
6300,6300,미스터로또
1196,3780,TV동물농장
4393,6180,뭉쳐야찬다2
1270,3780,TV동물농장
1263,3000,궁금한이야기Y
4379,4620,회장님네사람들
5983,6360,쇼퀸
3600,3600,개는훌륭하다
3581,3600,개는훌륭하다
5040,5040,고딩엄빠3
886,3120,궁금한이야기Y
4020,4020,박원숙의같이삽시다시즌3
2556,5580,1박2일시즌4
5580,5580,1박2일시즌4
5460,5460,골때리는그녀들
6960,6960,화요일은밤이좋아
231,3060,궁금한이야기Y
7860,7860,미스터로또
171,7860,미스터로또
7860,7860,미스터로또
1964,7860,미스터로또
2889,6480,미스터로또
1921,5400,신랑수업
205,4260,뮤직뱅크
1562,4260,뮤직뱅크
5828,5880,나혼자산다
3541,5880,나혼자산다
96,7140,불타는장미단
1335,7140,불타는장미단
3840,3840,TV동물농장
2279,3840,TV동물농장
1574,3180,궁금한이야기Y
1974,3180,궁금한이야기Y
3180,3180,궁금한이야기Y
1637,3180,궁금한이야기Y
2015,3180,가요무대
4320,4320,홍김동전
4044,4980,뭉뜬리턴즈
280,4980,뭉뜬리턴즈
4713,6000,미운우리새끼
1263,6180,조선의사랑꾼
1758,6180,조선의사랑꾼
2566,6180,조선의사랑꾼
8520,8520,화요일은밤이좋아
4860,4860,내일은위닝샷
3233,7860,불타는장미단
1836,7860,불타는장미단
4008,7860,불타는장미단
6720,6720,미스터로또
4465,6720,미스터로또
5820,5820,1박2일시즌4
4560,4560,놀면뭐하니?
132,4560,놀면뭐하니?
4020,4020,박원숙의같이삽시다시즌3
4020,4020,박원숙의같이삽시다시즌3
1920,3960,TV동물농장
1606,3960,TV동물농장
1737,3960,TV동물농장
1649,3960,TV동물농장
234,3960,TV동물농장
1413,3960,TV동물농장
2820,2820,일타강사
4200,4200,신발벗고돌싱포맨
4200,4200,신발벗고돌싱포맨
4200,4200,신발벗고돌싱포맨
343,4200,신발벗고돌싱포맨
4200,4200,신발벗고돌싱포맨
360,3840,TV동물농장
1521,3840,TV동물농장
529,3840,TV동물농장
3120,3120,가요무대
833,3120,가요무대
115,3120,가요무대
124,3120,가요무대
3120,3120,가요무대
3320,4320,홍김동전
4320,4320,홍김동전
4800,4800,속풀이쇼동치미
279,5340,신랑수업
786,5340,신랑수업
466,5340,신랑수업
489,5340,신랑수업
341,6180,손대면핫플-동네멋집
6085,6180,손대면핫플-동네멋집
2580,2580,장미꽃필무렵
2580,2580,장미꽃필무렵
981,2580,장미꽃필무렵
1903,2580,장미꽃필무렵
184,2580,장미꽃필무렵
3900,3900,홍김동전
2491,2520,장미꽃필무렵
225,2520,장미꽃필무렵
2275,2520,장미꽃필무렵
442,2520,장미꽃필무렵
957,2520,장미꽃필무렵
1906,2520,장미꽃필무렵
4680,4680,속풀이쇼동치미
467,3600,심야괴담회
1398,3780,TV동물농장
1457,3780,TV동물농장
3781,5580,전지적참견시점
80,6300,뭉쳐야찬다2
1900,4860,속풀이쇼동치미
2265,4860,내일은위닝샷
1520,4860,내일은위닝샷
3959,5520,동상이몽2-너는내운명
5520,5520,동상이몽2-너는내운명
1642,5520,동상이몽2-너는내운명
5520,5520,동상이몽2-너는내운명
1190,5520,동상이몽2-너는내운명
1200,5520,구해줘!홈즈
916,5520,구해줘!홈즈
1303,5520,구해줘!홈즈
89,5520,구해줘!홈즈
3600,3600,개는훌륭하다
1061,3600,개는훌륭하다
1383,3840,SBS인기가요
1856,3780,TV동물농장
3781,4620,신상출시편스토랑
1070,4620,신상출시편스토랑
2580,2580,장미꽃필무렵
1991,2580,장미꽃필무렵
1756,2580,장미꽃필무렵
429,2580,장미꽃필무렵
532,2580,장미꽃필무렵
5520,5520,1박2일시즌4
336,5520,1박2일시즌4
7247,7620,불타는장미단
7620,7620,불타는장미단
5880,5880,텐트밖은유럽노르웨이편
491,5220,사장님귀는당나귀귀
3102,6960,트랄랄라브라더스
65,6960,트랄랄라브라더스
1486,5580,런닝맨
4725,5580,런닝맨
4160,5580,런닝맨
3240,3240,가요무대
3600,3600,개는훌륭하다
3600,3600,개는훌륭하다
4380,4380,회장님네사람들
1033,2880,생로병사의비밀
6060,6060,미운우리새끼
1426,6060,미운우리새끼
4200,4200,신발벗고돌싱포맨
4200,4200,신발벗고돌싱포맨
6360,6360,미운우리새끼
142,9060,미스터트롯2
3660,3660,고기서만나
5460,5460,귀염뽕짝원정대
629,4200,놀면뭐하니?
1563,4200,놀면뭐하니?
540,4200,놀면뭐하니?
3561,4200,놀면뭐하니?
2770,5280,전지적참견시점
66,5580,1박2일시즌4
8940,8940,최강야구
5284,8940,최강야구
2877,3060,세컨하우스2
2805,3060,세컨하우스2
1146,4080,심야괴담회
1466,5820,형제라면
990,5820,형제라면
4141,5820,형제라면
3843,4740,회장님네사람들
5223,5460,나혼자산다
799,5460,나혼자산다
4400,5460,나혼자산다
3293,5460,나혼자산다
415,5460,나혼자산다
2192,5700,동상이몽2-너는내운명
5700,5700,동상이몽2-너는내운명
1194,5700,동상이몽2-너는내운명
669,4980,고딩엄빠4
4980,4980,고딩엄빠4
4860,4860,속풀이쇼동치미
876,7200,최강야구
2176,7200,최강야구
5220,5220,2억9천:결혼전쟁
3352,5460,신랑수업
1920,4800,신상출시편스토랑
4320,4320,벌거벗은한국사
3006,5700,조선의사랑꾼
957,5160,태어난김에세계일주2
2204,5160,태어난김에세계일주2
5520,5520,나혼자산다
5520,5520,나혼자산다
5246,5520,나혼자산다
2791,5520,나혼자산다
1452,5520,나혼자산다
5480,6120,미운우리새끼
2506,6120,미운우리새끼
6360,6360,미스터로또
1546,3900,SBS인기가요
174,4140,와이낫크루-뜻밖의여행
96,4140,와이낫크루-뜻밖의여행
420,4140,와이낫크루-뜻밖의여행
4980,4980,고딩엄빠4
5220,5220,조선의사랑꾼
3869,5520,런닝맨
5240,5520,런닝맨
480,3780,TV동물농장
3116,6600,뿅뿅지구오락실2
2842,6600,뿅뿅지구오락실2
6149,6600,뿅뿅지구오락실2
3600,3600,개는훌륭하다
3600,3600,개는훌륭하다
7920,7920,화요일은밤이좋아
6240,6240,형제라면
5580,5580,런닝맨
2041,3720,TV동물농장
3157,4200,속풀이쇼동치미
3840,3840,심야괴담회
1794,6660,손대면핫플-동네멋집
3945,5880,손대면핫플-동네멋집
1199,5880,손대면핫플-동네멋집
950,5880,손대면핫플-동네멋집
2746,3840,TV동물농장
8220,8220,최강야구
681,3840,TV동물농장
2006,3780,TV동물농장
1227,3120,궁금한이야기Y
1488,3120,궁금한이야기Y
2025,5280,런닝맨
1330,5280,런닝맨
5280,5280,런닝맨
5640,5640,귀염뽕짝원정대
4680,4680,속풀이쇼동치미
800,5100,전지적참견시점
3223,5100,전지적참견시점
1767,5100,전지적참견시점
1856,5100,전지적참견시점
3634,3660,옥탑방의문제아들
1101,3840,심야괴담회
2546,5220,조선의사랑꾼
4080,4080,TV동물농장
4080,4080,TV동물농장
3780,3780,심야괴담회
140,4080,듣고보니그럴싸
928,3900,홍김동전
3593,3900,홍김동전
3016,3900,홍김동전
4185,5100,1박2일시즌4
2705,5220,전지적참견시점
2370,7380,불타는장미단
1563,7380,불타는장미단
3433,7380,불타는장미단
6360,6360,미스터로또
4806,7620,불타는장미단
309,7620,불타는장미단
126,4740,신상출시편스토랑
1813,7020,유퀴즈온더블럭
5236,7020,유퀴즈온더블럭
1834,5220,런닝맨
2590,5220,런닝맨
546,5220,런닝맨
5220,5220,런닝맨
1074,5220,런닝맨
630,5220,런닝맨
2406,5400,전지적참견시점
3008,5400,전지적참견시점
